Date,Not indexed,Indexed,Impressions
2026-04-19,,,91
2026-04-20,29,74,84
2026-04-21,36,68,113
2026-04-22,36,68,88
2026-04-23,36,68,116
2026-04-24,36,68,95
2026-04-25,35,68,92
2026-04-26,35,68,80
2026-04-27,35,68,86
2026-04-28,38,65,67
2026-04-29,38,65,100
2026-04-30,38,65,108
2026-05-01,38,65,101
2026-05-02,41,62,69
2026-05-03,41,62,89
2026-05-04,41,62,72
2026-05-05,45,59,71
2026-05-06,45,59,46
2026-05-07,45,59,53
2026-05-08,45,59,54
2026-05-09,42,62,74
2026-05-10,42,62,49
2026-05-11,42,62,60
2026-05-12,39,65,146
2026-05-13,39,65,163
2026-05-14,39,65,181
2026-05-15,39,65,179
2026-05-16,38,66,148
2026-05-17,38,66,166
2026-05-18,38,66,183
2026-05-19,33,71,112
2026-05-20,33,71,158
2026-05-21,33,71,240
2026-05-22,33,71,207
2026-05-23,32,72,179
2026-05-24,32,72,150
2026-05-25,32,72,155
2026-05-26,34,70,158
2026-05-27,34,70,163
2026-05-28,34,70,179
2026-05-29,34,70,165
2026-05-30,38,67,123
2026-05-31,38,67,170
2026-06-01,38,67,180
2026-06-02,43,62,114
2026-06-03,43,62,154
2026-06-04,43,62,246
2026-06-05,43,62,231
2026-06-06,43,62,205
2026-06-07,43,62,158
2026-06-08,43,62,208
2026-06-09,43,62,182
2026-06-10,43,62,156
2026-06-11,43,62,175
2026-06-12,43,62,165
2026-06-13,50,55,146
2026-06-14,50,55,131
2026-06-15,50,55,123
2026-06-16,50,55,114
2026-06-17,50,55,209
2026-06-18,50,55,159
2026-06-19,50,55,161
2026-06-20,50,55,140
2026-06-21,50,55,145
2026-06-22,50,55,123
2026-06-23,50,55,114
2026-06-24,50,55,139
2026-06-25,50,55,272
2026-06-26,50,55,247
2026-06-27,50,55,265
2026-06-28,50,55,226
2026-06-29,50,55,206
2026-06-30,50,55,269
2026-07-01,43,62,212
2026-07-02,43,62,218
2026-07-03,43,62,224
2026-07-04,43,62,254
2026-07-05,43,62,232
2026-07-06,43,62,245
2026-07-07,43,62,216
2026-07-08,43,62,244
2026-07-09,43,62,236
2026-07-10,43,62,199
